Pattern 1
1,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,0,1

Pattern 36
1,0,0,0,1,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,1,0
